Subsidy Dt,Año,Mes,CUOTA,NET,NEW_SEGMENT,TIPO_SUBSIDIO,MARCA,MODELO,GAMA,Diferencia_a_pagar,Diferencia_pagada,precio_venta,unidades,Tipo_Bodega,bimestre,marcapref,gruposeleccionado
02/07/2020,2020,Feb,950,UPGRADE,PYME,ACQUISITION,MARCA 4,MARCA 4 MODELO F,Utra,7137,6737,12399,1,TIENDAS,2,1,3
1/24/2020,2020,Ene,550,DOWNGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO F,Utra,6737,6723,12399,1,BODEGA CORP,2,1,3
1/15/2020,2020,Ene,550,UPGRADE,PYME,ACQUISITION,MARCA 4,MARCA 4 MODELO F,Utra,6723,6723,12399,1,TIENDAS,2,1,3
1/21/2020,2020,Ene,550,DOWNGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO F,Utra,6723,6723,12399,1,TIENDAS,2,1,3
01/10/2020,2020,Ene,550,DOWNGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO F,Utra,6723,6723,12399,1,TIENDAS,2,1,3
2/27/2020,2020,Feb,300,UPGRADE,PYME,ACQUISITION,MARCA 4,MARCA 4 MODELO F,Utra,8937,6637.01,12399,1,BODEGA CORP,2,1,3
2/27/2020,2020,Feb,300,UPGRADE,PYME,ACQUISITION,MARCA 4,MARCA 4 MODELO F,Utra,8937,6637.01,12399,1,BODEGA CORP,2,1,3
2/27/2020,2020,Feb,300,UPGRADE,PYME,ACQUISITION,MARCA 4,MARCA 4 MODELO F,Utra,8937,6637.01,12399,1,BODEGA CORP,2,1,3
2/27/2020,2020,Feb,300,UPGRADE,PYME,ACQUISITION,MARCA 4,MARCA 4 MODELO F,Utra,8937,6637.01,12399,1,BODEGA CORP,2,1,3
2/27/2020,2020,Feb,300,UPGRADE,PYME,ACQUISITION,MARCA 4,MARCA 4 MODELO F,Utra,8937,6637.01,12399,1,BODEGA CORP,2,1,3
2/27/2020,2020,Feb,300,UPGRADE,PYME,ACQUISITION,MARCA 4,MARCA 4 MODELO F,Utra,8937,6637.01,12399,1,BODEGA CORP,2,1,3
1/22/2019,2019,Ene,650,DOWNGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO N,Utra,6519,6519,11699,1,BODEGA CORP,1,1,1
1/22/2019,2019,Ene,650,EQUAL,PYME,RETENTION,MARCA 4,MARCA 4 MODELO O,Utra,6519,6519,12699,1,BODEGA CORP,1,1,1
2/13/2019,2019,Feb,550,EQUAL,PYME,RETENTION,MARCA 4,MARCA 4 MODELO N,Utra,6519,6519,11699,1,BODEGA CORP,1,1,1
1/22/2019,2019,Ene,450,DOWNGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO N,Utra,7299,6519,11699,1,BODEGA CORP,1,1,1
01/10/2019,2019,Ene,450,UPGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO N,Utra,6519,6519,11699,1,TIENDAS,1,1,1
2/16/2019,2019,Feb,450,DOWNGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO N,Utra,6519,6519,11699,1,TIENDAS,1,1,1
01/10/2019,2019,Ene,550,DOWNGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO N,Utra,6519,6519,11699,1,TIENDAS,1,1,1
2/22/2019,2019,Feb,450,EQUAL,PYME,RETENTION,MARCA 4,MARCA 4 MODELO N,Utra,6519,6519,11699,1,TIENDAS,1,1,1
1/30/2019,2019,Ene,650,EQUAL,PYME,RETENTION,MARCA 4,MARCA 4 MODELO O,Utra,6519,6519,12699,1,TIENDAS,1,1,1
02/11/2019,2019,Feb,650,UPGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO O,Utra,6519,6519,12699,1,TIENDAS,1,1,1
1/15/2019,2019,Ene,450,DOWNGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO N,Utra,6519,6519,11699,1,TIENDAS,1,1,1
1/15/2019,2019,Ene,450,DOWNGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO N,Utra,6519,6519,11699,1,TIENDAS,1,1,1
1/15/2019,2019,Ene,450,DOWNGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO N,Utra,6519,6519,11699,1,TIENDAS,1,1,1
1/30/2019,2019,Ene,450,UPGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO N,Utra,6519,6519,11699,1,TIENDAS,1,1,1
1/31/2019,2019,Ene,450,UPGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO N,Utra,6519,6519,11699,1,TIENDAS,1,1,1
2/21/2019,2019,Feb,450,UPGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO N,Utra,6519,6519,11699,1,TIENDAS,1,1,1
2/18/2019,2019,Feb,650,UPGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO N,Utra,4719,6497,11699,1,BODEGA CORP,1,1,1
1/23/2020,2020,Ene,650,UPGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO F,Utra,6437,6449,12399,1,TIENDAS,2,1,3
1/14/2020,2020,Ene,450,UPGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO F,Utra,7263,6414,12399,1,BODEGA CORP,2,1,3
01/02/2020,2020,Ene,650,EQUAL,PYME,RETENTION,MARCA 4,MARCA 4 MODELO F,Utra,6412,6412,12399,1,TIENDAS,2,1,3
01/02/2020,2020,Ene,650,EQUAL,PYME,RETENTION,MARCA 4,MARCA 4 MODELO F,Utra,6412,6412,12399,1,TIENDAS,2,1,3
01/12/2020,2020,Ene,650,UPGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO F,Utra,6412,6412,12399,1,TIENDAS,2,1,3
1/20/2020,2020,Ene,650,DOWNGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO F,Utra,6412,6412,12399,1,TIENDAS,2,1,3
2/21/2020,2020,Feb,450,DOWNGRADE,PYME,RETENTION,MARCA 3,MARCA 3 MODELO AD,Utra,7200,6400,9999,1,TIENDAS,2,0,4
02/03/2020,2020,Feb,650,UPGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO G,Utra,7299,6399.01,13599,1,TIENDAS,2,1,3
02/07/2020,2020,Feb,850,UPGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO G,Utra,6399.01,6399.01,13599,1,TIENDAS,2,1,3
2/26/2019,2019,Feb,550,UPGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO N,Utra,6399,6399.01,11699,1,TIENDAS,1,1,1
02/04/2020,2020,Feb,650,DOWNGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO G,Utra,7299,6399.01,13599,1,TIENDAS,2,1,3
2/27/2020,2020,Feb,650,DOWNGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO G,Utra,7262,6399,13599,1,BODEGA CORP,2,1,3
1/24/2019,2019,Ene,550,DOWNGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO N,Utra,6399,6399,11699,1,BODEGA CORP,1,1,1
02/05/2020,2020,Feb,149,EQUAL,PYME,RETENTION,MARCA 3,MARCA 3 MODELO AG,Alta,4550,6399,6399,1,BODEGA CORP,2,0,4
2/28/2020,2020,Feb,650,UPGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO G,Utra,7299,6399,13599,1,TIENDAS,2,1,3
02/03/2020,2020,Feb,650,UPGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO G,Utra,7299,6399,13599,1,TIENDAS,2,1,3
1/26/2020,2020,Ene,650,UPGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO G,Utra,6399,6399,13599,1,TIENDAS,2,1,3
2/21/2019,2019,Feb,550,DOWNGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO N,Utra,6399,6399,11699,1,TIENDAS,1,1,1
02/04/2020,2020,Feb,650,DOWNGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO G,Utra,7299,6399,13599,1,TIENDAS,2,1,3
02/05/2020,2020,Feb,650,UPGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO G,Utra,6399,6399,13599,1,TIENDAS,2,1,3
02/10/2020,2020,Feb,650,DOWNGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO G,Utra,7299,6399,13599,1,TIENDAS,2,1,3
1/26/2020,2020,Ene,650,UPGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO G,Utra,6399,6399,13599,1,TIENDAS,2,1,3
2/18/2020,2020,Feb,650,DOWNGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO G,Utra,7299,6399,13599,1,TIENDAS,2,1,3
2/29/2020,2020,Feb,650,UPGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO G,Utra,7299,6399,13599,1,TIENDAS,2,1,3
02/05/2020,2020,Feb,650,UPGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO G,Utra,7299,6399,13599,1,TIENDAS,2,1,3
01/03/2020,2020,Ene,450,EQUAL,PYME,RETENTION,MARCA 3,MARCA 3 MODELO AD,Utra,6365,6365,9999,1,TIENDAS,2,0,4
1/13/2020,2020,Ene,650,UPGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO G,Utra,6362,6362,13599,1,TIENDAS,2,1,3
01/02/2020,2020,Ene,650,UPGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO G,Utra,6362,6362,13599,1,TIENDAS,2,1,3
01/04/2020,2020,Ene,650,EQUAL,PYME,RETENTION,MARCA 4,MARCA 4 MODELO G,Utra,6362,6362,13599,1,TIENDAS,2,1,3
01/10/2020,2020,Ene,650,EQUAL,PYME,RETENTION,MARCA 4,MARCA 4 MODELO G,Utra,6362,6362,13599,1,TIENDAS,2,1,3
1/20/2020,2020,Ene,650,EQUAL,PYME,RETENTION,MARCA 4,MARCA 4 MODELO G,Utra,6362,6362,13599,1,TIENDAS,2,1,3
01/09/2020,2020,Ene,650,DOWNGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO G,Utra,4663,6362,13599,1,TIENDAS,2,1,3
02/07/2020,2020,Feb,550,EQUAL,PYME,RETENTION,MARCA 3,MARCA 3 MODELO AD,Utra,6300,6300,9999,1,TIENDAS,2,0,4
01/12/2020,2020,Ene,550,EQUAL,PYME,RETENTION,MARCA 3,MARCA 3 MODELO AD,Utra,6294,6294,9999,1,TIENDAS,2,0,4
1/26/2019,2019,Ene,450,UPGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO N,Utra,6519,6219,11699,1,TIENDAS,1,1,1
1/26/2019,2019,Ene,450,UPGRADE,PYME,ACQUISITION,MARCA 4,MARCA 4 MODELO N,Utra,6519,6219,11699,1,TIENDAS,1,1,1
1/22/2020,2020,Ene,275,DOWNGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO D,Alta,6120,6120,7499,1,BODEGA CORP,2,1,3
1/22/2020,2020,Ene,275,DOWNGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO D,Alta,6120,6120,7499,1,BODEGA CORP,2,1,3
1/27/2020,2020,Ene,275,DOWNGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO D,Alta,6120,6120,7499,1,TIENDAS,2,1,3
2/20/2020,2020,Feb,850,DOWNGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO G,Utra,6019,6019,13599,1,TIENDAS,2,1,3
2/29/2020,2020,Feb,300,DOWNGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO D,Alta,6000,6000.01,7499,1,TIENDAS,2,1,3
02/10/2020,2020,Feb,300,UPGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO D,Alta,6000,6000.01,7499,1,TIENDAS,2,1,3
01/10/2020,2020,Ene,350,UPGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO F,Utra,6000,6000,12399,1,BODEGA CORP,2,1,3
02/01/2019,2019,Feb,275,DOWNGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO M,Alta,6000,6000,7799,1,BODEGA CORP,1,1,1
1/17/2019,2019,Ene,275,DOWNGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO O,Utra,9899,6000,12699,1,BODEGA CORP,1,1,1
2/16/2020,2020,Feb,300,DOWNGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO D,Alta,6000,6000,7499,1,TIENDAS,2,1,3
02/11/2019,2019,Feb,550,UPGRADE,PYME,ACQUISITION,MARCA 4,MARCA 4 MODELO N,Utra,5979,5979.01,11699,1,TIENDAS,1,1,1
2/27/2019,2019,Feb,550,UPGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO N,Utra,5979,5979.01,11699,1,TIENDAS,1,1,1
02/01/2019,2019,Feb,950,UPGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO N,Utra,5979,5979,11699,1,TIENDAS,1,1,1
2/13/2019,2019,Feb,650,DOWNGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO N,Utra,5979,5979,11699,1,TIENDAS,1,1,1
01/09/2019,2019,Ene,550,DOWNGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO N,Utra,5979,5979,11699,1,TIENDAS,1,1,1
2/18/2020,2020,Feb,550,DOWNGRADE,PYME,RETENTION,MARCA 3,MARCA 3 MODELO AD,Utra,6300,5900,9999,1,TIENDAS,2,0,4
02/04/2020,2020,Feb,550,EQUAL,PYME,RETENTION,MARCA 3,MARCA 3 MODELO AD,Utra,6300,5899.01,9999,1,TIENDAS,2,0,4
02/07/2020,2020,Feb,650,UPGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO G,Utra,7299,5899,13599,1,TIENDAS,2,1,3
1/16/2020,2020,Ene,550,UPGRADE,PYME,RETENTION,MARCA 3,MARCA 3 MODELO AD,Utra,5874,5825,9999,1,BODEGA CORP,2,0,4
02/04/2020,2020,Feb,300,DOWNGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO D,Alta,5995,5801,7499,1,BODEGA CORP,2,1,3
01/10/2019,2019,Ene,550,DOWNGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO O,Utra,6879,5800,12699,1,TIENDAS,1,1,1
02/01/2019,2019,Feb,275,DOWNGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO M,Alta,6450,5800,7799,1,TIENDAS,1,1,1
02/12/2019,2019,Feb,275,DOWNGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO M,Alta,6450,5800,7799,1,TIENDAS,1,1,1
02/04/2020,2020,Feb,300,UPGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO D,Alta,5995,5778,7499,1,BODEGA CORP,2,1,3
02/04/2020,2020,Feb,300,UPGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO D,Alta,5995,5774,7499,1,BODEGA CORP,2,1,3
02/04/2020,2020,Feb,300,UPGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO D,Alta,5995,5774,7499,1,BODEGA CORP,2,1,3
01/09/2020,2020,Ene,650,UPGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO G,Utra,4663,5762,13599,1,BODEGA CORP,2,1,3
01/09/2020,2020,Ene,650,UPGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO G,Utra,4663,5762,13599,1,BODEGA CORP,2,1,3
2/21/2019,2019,Feb,650,UPGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO O,Utra,6519,5719,12699,1,BODEGA CORP,1,1,1
2/21/2019,2019,Feb,650,UPGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO O,Utra,6519,5719,12699,1,BODEGA CORP,1,1,1
2/21/2019,2019,Feb,650,UPGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO O,Utra,6519,5719,12699,1,BODEGA CORP,1,1,1
2/21/2019,2019,Feb,650,DOWNGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO O,Utra,6519,5719,12699,1,BODEGA CORP,1,1,1
2/21/2019,2019,Feb,650,UPGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO O,Utra,6519,5719,12699,1,BODEGA CORP,1,1,1
2/21/2019,2019,Feb,650,UPGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO O,Utra,6519,5719,12699,1,BODEGA CORP,1,1,1
2/21/2019,2019,Feb,650,DOWNGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO O,Utra,6519,5719,12699,1,BODEGA CORP,1,1,1
1/14/2020,2020,Ene,650,UPGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO G,Utra,7262,5715,13599,1,BODEGA CORP,2,1,3
01/07/2019,2019,Ene,450,UPGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO M,Alta,5700,5700,7799,1,TIENDAS,1,1,1
02/05/2019,2019,Feb,350,UPGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO M,Alta,5700,5700,7799,1,TIENDAS,1,1,1
02/09/2019,2019,Feb,350,DOWNGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO M,Alta,5700,5700,7799,1,TIENDAS,1,1,1
1/23/2020,2020,Ene,550,UPGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO F,Utra,6737,5700,12399,1,BODEGA CORP,2,1,3
1/15/2019,2019,Ene,350,DOWNGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO M,Alta,5700,5700,7799,1,BODEGA CORP,1,1,1
1/17/2019,2019,Ene,450,DOWNGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO M,Alta,5700,5700,7799,1,TIENDAS,1,1,1
2/25/2019,2019,Feb,350,DOWNGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO M,Alta,5700,5700,7799,1,TIENDAS,1,1,1
1/17/2019,2019,Ene,350,DOWNGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO M,Alta,5700,5700,7799,1,TIENDAS,1,1,1
2/28/2019,2019,Feb,350,DOWNGRADE,PYME,RETENTION,MARCA 2,MARCA 2 MODELO B,Alta,5700,5700,7999,1,TIENDAS,1,0,2
02/04/2020,2020,Feb,300,UPGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO D,Alta,5995,5637,7499,1,BODEGA CORP,2,1,3
1/25/2019,2019,Ene,650,UPGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO O,Utra,5619,5619.01,12699,1,TIENDAS,1,1,1
1/13/2019,2019,Ene,850,UPGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO N,Utra,5619,5619.01,11699,1,TIENDAS,1,1,1
01/02/2019,2019,Ene,650,UPGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO O,Utra,5619,5619.01,12699,1,TIENDAS,1,1,1
2/15/2019,2019,Feb,650,UPGRADE,PYME,ACQUISITION,MARCA 4,MARCA 4 MODELO O,Utra,5619.01,5619.01,12699,1,TIENDAS,1,1,1
02/06/2019,2019,Feb,650,UPGRADE,PYME,ACQUISITION,MARCA 4,MARCA 4 MODELO N,Utra,5619,5619.01,11699,1,TIENDAS,1,1,1
2/25/2019,2019,Feb,650,UPGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO O,Utra,5619,5619.01,12699,1,TIENDAS,1,1,1
1/16/2019,2019,Ene,650,UPGRADE,PYME,ACQUISITION,MARCA 4,MARCA 4 MODELO N,Utra,5619,5619.01,11699,1,TIENDAS,1,1,1
1/17/2019,2019,Ene,650,DOWNGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO O,Utra,5619,5619,12699,1,BODEGA CORP,1,1,1
02/11/2019,2019,Feb,650,UPGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO N,Utra,5619,5619,11699,1,BODEGA CORP,1,1,1
2/24/2019,2019,Feb,850,UPGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO O,Utra,5619,5619,12699,1,TIENDAS,1,1,1
2/27/2019,2019,Feb,850,UPGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO O,Utra,5619,5619,12699,1,TIENDAS,1,1,1
1/17/2019,2019,Ene,650,DOWNGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO O,Utra,5619,5619,12699,1,TIENDAS,1,1,1
1/22/2019,2019,Ene,650,UPGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO O,Utra,5619,5619,12699,1,TIENDAS,1,1,1
02/03/2019,2019,Feb,650,UPGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO O,Utra,5619,5619,12699,1,TIENDAS,1,1,1
02/06/2019,2019,Feb,650,UPGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO O,Utra,5619,5619,12699,1,TIENDAS,1,1,1
02/09/2019,2019,Feb,650,UPGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO O,Utra,5619,5619,12699,1,TIENDAS,1,1,1
2/21/2019,2019,Feb,650,UPGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO O,Utra,5619,5619,12699,1,TIENDAS,1,1,1
2/19/2019,2019,Feb,650,UPGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO O,Utra,5619,5619,12699,1,TIENDAS,1,1,1
